completion	prompt
I'm driving up to the main building. They've got valet parking tonight.	Homer, what are you doing?
"But Marge, valets. For once, maybe someone will call me ""Sir,"" without adding ""you're making a scene."""	We can't drive this up there. They'll see the dent. They'll see the coat hanger antenna. Stop the car. We're walking.
I'm gonna regale everyone with my anecdote. You know, the one I tried to say on the radio? Heh, heh, who's gonna bleep me this time?	"But Marge, valets. For once, maybe someone will call me ""Sir,"" without adding ""you're making a scene."""
I just won't say anything, okay, honey?	I won't say anything controversial.
You kids should thank your mother. Now that she's a better person, we can see how awful we really are.	I just won't say anything, okay, honey?
Our savings?!	Oh, Homie, I like your in-your-face humanity. I like the way Lisa speaks her mind. I like Bart's... I like Bart. And I like my old green dress. I didn't have to spend our savings on this stupid gown.
They have beer and gum, right?	Don't worry, I saved the receipt. We'll have a $3,300 credit at Chanel.
Poor Aunt Hortense... woo-hoo... woo-hoo...	May I offer my condolences on the untimely passing of your Great Aunt Hortense. As her only living heirs, you stand to inherit her entire estate.
Well, luckily, there's no such thing as ghosts.	No, it's a standard clause.
Yes, there's no such thing as ghosts.	Well, luckily, there's no such thing as ghosts.
Best night's sleep I ever had.	Yes, there's no such thing as ghosts.
Hey Marge -- what were your gambling losses last year?	Fill out schedule B. You should receive your burgers in six to eight weeks.
Yeah, even with all his problems, he's still willing to do something unbelievably dangerous just to entertain his fans.	You gotta hand it to Krusty.
Wow.	Yeah, even with all his problems, he's still willing to do something unbelievably dangerous just to entertain his fans.
Don't worry, son. I'm sure he's up in Heaven right now, laughing it up with all the other celebrities -- John Dillinger, Ty Cobb, Joseph Stalin... I wish I were dead.	I can't believe Krusty is really gone.
Don't let Krusty's death get you down, boy. People die all the time. Just like that. Why, you could wake up dead tomorrow. Well, good night.	By a nearly 2 to 1 vote, the smiling Krusty was chosen.
That's for my master to decide.	What kind of apprentice?
You think so?	How about town crier? You'd be great at that.
Ah! Well, if you kids believe in me that much, I'll give it my best shot.	Yeah, Dad! You're a big fat loudmouth. And you can walk when you have to.
You su-diddily-uck, Flanders! Gimme that!	Thankily-dank, Mayor, I shan't disappoint. Har ye, har ye! I declare myself pickled tink about Springfield's Bicen-ciddily-ti-ten-toodily-rin-tin-tennial Day!
Hear ye! Hear ye! Ye olde town crier proclaimed crappy by all! Chooseth Homer Simpson and he shalt rock thy world!	You su-diddily-uck, Flanders! Gimme that!
Less chat, more hat.	Aw, they're just family heirlooms. That shouldn't stand in the way of Homer takin' my job and--
Woo hoo! Hear ye! Hear ye! The Homer Broadcasting System is on the air! All hollering, all the time! I'm gonna make the...	Less chat, more hat.
Okay.	You're to restrict your cryering to the parade, and selected pre-approved publicity events.
Hear ye, hear ye! What's for breakfast?	Uh, no.
I don't understand thee, Marge.	Toast.
No tongue, eh? How did he talk and eat and laugh and love?	Jebediah was really a vicious pirate named Hans Sprüngfeld. His tongue was bitten off by a Turk in a grog house fight!
Yes, that'd do.	He had a prosthetic tongue made out of silver.
The dastard!	He was one of the evillest men of the 1780's. He even tried to kill George Washington!
I believe you, honey.	Lisa, honey, when my family first came to this state, they had a choice of living in Springfield or Stenchburg. You know why they chose Springfield? Because everyone knows Jebediah Springfield was a true American hero. End of story.
Of course I do. You're always right about this type of thing, and for once, I want in on the ground floor.	You do?
Well, nice talking to you.	This is nothing but dead white male bashing from a P.C. thug. It's women like you who keep the rest of us from landing a husband.
Lisa?	Well, nice talking to you.
I've been called a greasy thug too, and it never stops hurting. So here's what we're gonna do: grease ourselves up real good, and trash that place with a baseball bat.	Miss Hoover thought I made the whole thing up. She called me a P.C. thug.
But you have proof! We could go get that confession out of Jebediah's fife.	That won't help, Dad. No one's ever going to believe me.
Come on, we can use the baseball bat to smash open the case.	We could?
Town Crier. I'd like to ask you a few questions. One: where's the fife, and two: give me the fife.	Oh, you're back. And you've brought a friend.
Oh yeah? Well, put this in your fife and smoke it!	Hey, stop! I've got nothing but respect for the office of town crier, but this is well outside your jurisdiction.
Oh, sure I do. I always believe in helping the little guy, and you're the littlest guy I know.	Go! Go!
No, it's Homer.	Question: is your name Ridley Scott or James Cameron?
I'm just waitin' for my kid.	"Well, then I will thank you to stop peering at my screenplay, ""Homer."" And if I see a movie where computers threaten our personal liberties, I will know that you stole my idea."
Okay, well, that's not gonna stop us. I know a much better way to get attention...	He wouldn't let me put it up.
Hear ye, hear ye, my daughter has something to tell you about Jebediah Springfield.	Okay, well, that's not gonna stop us. I know a much better way to get attention...
DIG HIM UP! Dig up that corpse!! If you really love Jebediah Springfield, you'll haul his bones out of the ground to prove my daughter wrong!	Well, yes, but human decency prevents--
Dig up his grave! Pull out his tongue!	DIG HIM UP! Dig up that corpse!! If you really love Jebediah Springfield, you'll haul his bones out of the ground to prove my daughter wrong!
What do we win if the tongue is there?	Yes.
What a jip.	Credibility.
Hear ye, hear ye, everybody makes mistakes. Let's go home.	I was so sure...
No! Nooooooo!!	By the power vested in me, I hereby strip you of your ceremonial bell--
Oh, it's not your fault, honey. I'm supposed to be the responsible one. I shouldn't have let you let me get carried away.	Oh, Dad, I'm really sorry. I know how much you wanted to be in the parade.
Get lost!	Well, hey, it's Homer! Good to see ya, neighb--
Hear ye, HEAR YE, HEAR YE!!	Get lost!
All right! Liver!	Our first race is a benefit for daredevil Lance Murdock , who's hospitalized with cirrhosis of the liver !
I think Smithers picked me because of my motivational skills. Everyone always says they have to work a lot harder when I'm around.	Aw, nuts to this. I'll just go get Homer Simpson.
Um, is this the chair I'll be sitting on?	Sor-ry. Next time get your own darned corn.
Uh-huh. But this is the chair, right?	Yah. Now I realize caring for Mr. Burns seems like a big job, but actually it's just 2800 small jobs.
Mr. Burns has a mother!? She must be a hundred million years old!	Montgomery Burns' office... Oh, hello Mrs. Burns... I'll see if your son is available.
Heh, heh. Taft, you old dog...	Uh-huh... Okay, I'll give him the message. Mr. Burns can't stand talking to his mother. He never forgave her for having that affair with President Taft.
Uh, Mr. Smithers? I don't understand 2700 of my new duties.	Simpson, eh?
Um, what do I do in case of fire?	Well, the van's leaving. Which one duty is giving you the most trouble?
Just my luck.	Sorry, can't hear you. Bye-bye!
Uh, Smithers already left, Sir. I'm his replacement, Homer Simpson.	Good lord, Smithers! You look atrocious. I thought I told you to take a vacation.
But I think the dodo went extinct...	Ah, yes, Simpson. I'll have my lunch now. A single pillow of shredded wheat, some steamed toast, and a dodo egg.
Uh-huh, uh-huh, okay. Um, can you repeat the part of the stuff where you said all about the things? The things?	Get going! And answer those phones, install a computer system, and rotate my office so the window faces the hills.
Lousy two-legged pants.	Uh-huh, uh-huh, okay. Um, can you repeat the part of the stuff where you said all about the things? The things?
I know. I'm taping it. I want to get to Mr. Burns' house bright and early to make his breakfast.	"Homie, it's 4:30 in the morning. ""Little Rascals"" isn't on 'til 6."
Hmmm. One of these must be a breakfast maker.	Ah, poor Homie. Poor, poor...
Well, it's my job to cook him breakfast, and I'm gonna cook the best damned breakfast he ever ate!	Hmmm. One of these must be a breakfast maker.
Uh... they all won.	Well, it's my job to cook him breakfast, and I'm gonna cook the best damned breakfast he ever ate!
Well, you can either get up or go back to sleep.	Eh? What about my options?
Yes, Sir, I did.	Did you get that report on the accounting department?
The accounting department is located on the third floor. Its hours are 9 a.m. to 5 p.m. The head of this department is a Mr. Johnson or Johnstone.	Yes, Sir, I did.
"Here are your messages: ""You have 30 minutes to move your car,"" ""You have 10 minutes,"" ""Your car has been impounded,"" ""Your car has been crushed into a cube,"" ""You have 30 minutes to move your cube."""	The accounting department is located on the third floor. Its hours are 9 a.m. to 5 p.m. The head of this department is a Mr. Johnson or Johnstone.
Hello. Mr. Burns' office.	"Here are your messages: ""You have 30 minutes to move your car,"" ""You have 10 minutes,"" ""Your car has been impounded,"" ""Your car has been crushed into a cube,"" ""You have 30 minutes to move your cube."""
It's Mr. Smithers. He's calling for you.	Is it about my cube?
Yes! Yes, sir!	Look alive, Simpson! I'm not paying you to goldbrick!
I'll have it on your desk in the morning, sir.	Now get cracking on my long division. And don't forget to show your work, Simpson.
No time, Marge. I think Mr. Burns wants me to do some long division.	Kids, stop exploiting your father. Homie, why don't you lie down and relax.
Yello?... It's for you.	The telephone has been ringing for some time. Answer it.
No.	Is there something wrong, Homie?
Except... I killed Mr. Burns.	Except...
I punched Mr. Burns right in his 104 year-old face.	What happened, Dad?
Mr. Burns?	Okay. Maybe everything's all right. Maybe if you go apologize, he won't even fire you. If he's alive.
Yes, sir.	No, please! I can't bear another thrashing. Just leave me be.
Hi, Mr. Burns. Do you want your coffee now?	Now I can make my escape...
